Date,Open,High,Low,Close,Volume
2024-11-22,532.5131493136846,535.0586587321345,522.5806116534933,532.5630493164062,167110
2024-11-25,549.0341030749954,549.0341030749954,523.6786855799813,527.2723999023438,224442
2024-11-26,519.0867584997623,543.7932917168183,519.0867584997623,524.82666015625,241708
2024-11-27,526.0744838967188,526.0744838967188,519.5858991807252,522.1314086914062,47474
2024-11-28,523.6287743950971,531.7644857563373,514.5946801684223,522.1314086914062,75470
2024-11-29,522.3809682664711,528.7697529565821,515.0938007132911,518.4878540039062,102743
2024-12-02,521.7321530419272,550.4316626550216,519.0867825672725,533.8607788085938,209658
2024-12-03,543.7434385201753,543.7434385201753,527.272414957626,529.917724609375,113687
2024-12-04,529.9176909944581,530.1672519416963,504.06321341735753,506.7584533691406,289788
2024-12-05,511.3503981876859,511.3503981876859,495.7278884549341,500.02032470703125,190712
2024-12-06,507.1078678481376,507.1078678481376,496.0772856641999,498.7226257324219,100216
2024-12-09,499.1218972571787,504.1131162297505,494.1306782846069,498.1735534667969,74616
2024-12-10,504.7619712504927,508.8048769178677,498.5229475020589,502.6157531738281,106930
2024-12-11,512.0491781363195,517.7391800790416,496.1770770741947,498.0238342285156,244179
2024-12-12,498.323312402809,503.7637227826401,492.83297155506324,499.4213562011719,108150
2024-12-13,498.6227874147852,505.8600550999848,492.1342025935718,501.26812744140625,92086
2024-12-16,499.1218978783587,511.99926721480676,491.13594751230494,503.8635559082031,525952
2024-12-17,524.077984865974,551.8291497837602,513.1472032817478,543.0446166992188,1227355
2024-12-18,546.0393708413848,582.9743922694125,541.0481517294891,572.4429321289062,1256963
2024-12-19,564.0077247404415,601.9409876433385,559.0165059374287,579.4306030273438,1447724
2024-12-20,589.2633344317874,589.2633344317874,558.667196884177,563.2590942382812,472816
2024-12-23,567.0024837984976,575.1381952171452,555.1733190270572,561.9613647460938,253754
2024-12-24,564.6566167419901,568.3001699706853,549.0340772632234,552.02880859375,123290
2024-12-26,554.6741865370301,564.4569634978876,541.0980344300743,551.9290161132812,324608
2024-12-27,553.9753981423853,561.412326492278,547.0375916827142,550.781005859375,202723
2024-12-30,558.6671738559447,584.3719520194978,552.028828133782,555.0235595703125,440914
2024-12-31,558.0183108707319,572.0436247454846,550.0822600958315,563.7083129882812,136795
2025-01-01,563.7083042254658,583.4236199112945,563.6584042194497,576.4359130859375,203224
2025-01-02,580.4787858474208,587.7659536045377,575.2380057516358,585.4201049804688,323506
2025-01-03,586.4682287026338,607.1318874144305,575.6872079180339,597.8981323242188,327453
2025-01-06,611.0250171304881,611.0749780638032,569.6478595826408,573.6907348632812,271856
2025-01-07,578.6320360653267,610.7754372954399,578.6320360653267,606.083740234375,389818
2025-01-08,617.9129004206387,622.9041193254905,589.4629526629842,597.9979248046875,279052
2025-01-09,597.4489448649066,598.247527760168,579.1810945759344,581.5768432617188,102140
2025-01-10,581.0776979142599,583.5733074413405,559.5156559714703,570.496337890625,198481
2025-01-13,563.0094848545149,582.9743602039657,554.2748518891301,569.1986083984375,194730
2025-01-14,572.8421778840278,592.5075928480958,564.0077446618386,580.3789672851562,134689
2025-01-15,579.9796798308046,588.3649525850884,567.6014316559989,586.01904296875,124786
2025-01-16,588.9638426922122,599.0460807128754,577.9332608748412,590.5111083984375,190240
2025-01-17,584.9708963520524,605.7842562623327,582.6749476816569,595.0032348632812,267152
2025-01-20,584.9708576011386,606.9322208557888,584.9708576011386,596.7501220703125,306241
2025-01-21,595.8517735855089,598.9463051241294,576.9350405964113,580.4288940429688,101938
