Date,Open,High,Low,Close,Volume
2025-03-27,113827.33007964381,114024.0265176822,112271.7308387108,113089.515625,10576
2025-03-28,113624.63783610784,114220.71787818303,111911.63315803207,112504.1171875,7320
2025-04-01,112326.64785231501,114235.35061548383,111727.57239710267,112862.8671875,3593
2025-04-02,113225.30211434144,115098.1616615256,112600.5163690926,114959.9296875,5030
2025-04-03,114323.56303139855,114822.79256428675,113624.64168535506,114693.4453125,3272
2025-04-04,114822.79105001749,114822.79105001749,112626.18113427803,113062.4609375,4440
2025-04-07,109830.49248429369,110650.72657134684,107834.5728981473,110215.3984375,7098
2025-04-08,111827.42063167981,113333.89262086185,111338.27707241985,112418.90625,4965
2025-04-09,112523.33681530037,113222.65595678348,111128.6923684368,112938.9921875,4967
2025-04-11,113125.41522375554,118566.97047720329,113125.41522375554,117363.2734375,17890
2025-04-15,119715.24755527644,122820.45539428318,118017.86706450104,122715.6171875,14655
2025-04-16,122760.54487935778,124582.73271510261,122695.64503863262,124298.171875,10139
2025-04-17,123908.77677777229,126664.52394865586,123798.9462745849,126280.1171875,15654
2025-04-21,127278.56924351833,127802.76025236593,126300.07936033615,126604.609375,6676
2025-04-22,127003.99798284439,128916.04716631252,126105.38478956954,127458.296875,9283
2025-04-23,129180.63962875059,129180.63962875059,126454.84625893694,127782.796875,6770
2025-04-24,127802.76323891626,130268.95718579221,127358.44894484346,129719.8046875,11841
2025-04-25,130298.9069604757,130498.59877190937,127203.68388325366,128456.75,7468
2025-04-28,128301.98628575541,130174.09698058647,128296.9939905692,130024.328125,4740
2025-04-29,130548.52594617107,132994.75071533452,130498.60299169835,132600.359375,7993
2025-04-30,132745.13055392922,135391.04703356753,131796.59445745512,134297.734375,11000
2025-05-02,134592.28485314272,135530.8363944035,133693.67167533984,134786.984375,6669
2025-05-05,135101.4981450191,137632.59191338526,135101.4981450191,135910.25,7072
2025-05-06,136589.21105267055,137058.48685087785,134292.75501889028,134782.0,5771
2025-05-07,131297.3699437402,141281.9608139866,131297.3699437402,140203.625,27052
2025-05-08,140533.1211489262,143054.23042708632,138136.819260774,138546.1875,15480
2025-05-09,137203.24440825314,138081.88833416562,135391.04131105865,137462.84375,9582
2025-05-12,140183.64302304806,140877.57202519206,139354.9220564588,139709.375,5916
2025-05-13,139884.12577888553,140852.6311465195,138785.82072280577,140208.625,6054
2025-05-14,140208.61888158362,141162.1473204792,140208.61888158362,140852.625,6640
2025-05-15,141281.96089653892,141656.38305439192,140647.9393759078,140922.515625,5969
2025-05-16,141546.5479577719,142240.47700112287,139784.26772537697,140048.859375,9730
2025-05-19,139195.17945587606,140438.2610025554,139195.17945587606,139929.046875,6621
2025-05-20,139884.12197393752,140932.50404440603,139270.06961837743,140023.90625,8983
2025-05-21,140583.0382682644,142280.41870190113,140283.50054468145,142065.75,7110
2025-05-22,142180.5714988233,142919.4312102638,141281.9583362605,142125.65625,5201
2025-05-23,142030.8130176794,143733.1858556066,141611.4601778381,143448.625,5635
2025-05-26,143778.1074168798,147207.81435421994,143483.56198849104,146399.0625,15301
2025-05-27,146399.0568679029,146568.7949048512,143398.6874500816,143763.125,9952
2025-05-28,144576.87948664074,144576.87948664074,141336.87966665352,142564.984375,14908
2025-05-29,142879.49265462547,144207.4432152869,139799.24642933183,140687.875,14872
2025-05-30,141471.67837693082,141626.43954672705,136953.65067804162,138651.03125,13777
2025-06-02,138186.73063943163,141182.10774866786,136798.87257881882,140533.109375,13350
2025-06-03,140543.10479884848,141681.34818809747,137238.20513357292,137867.234375,12154
2025-06-04,138556.158927161,138785.80450295727,135590.73562231366,135895.265625,10461
2025-06-05,136589.20436734112,140682.88666197634,136324.61270683422,140143.71875,15753
2025-06-06,140483.19716190067,140483.19716190067,137972.0724933706,139315.0,6901
2025-06-09,139324.9813395144,141117.21540504709,137997.0307505682,138381.4375,6140
2025-06-10,139185.18963093942,139185.18963093942,136344.5736732635,137637.578125,9402
2025-06-11,137787.35228850087,139235.1179466047,136289.66367666936,136669.078125,5607
2025-06-12,137218.2335048759,137557.7095973714,135291.20745041608,136174.84375,8399
2025-06-13,135585.74969344935,137787.35194739138,134791.97473114374,137407.9375,5875
2025-06-16,136589.1937823644,137233.19984954002,135690.58066537516,135935.203125,4147
2025-06-17,136089.96767280894,136818.8427747983,135795.42225488173,136139.890625,2551
2025-06-18,135890.2881025734,138286.59002355926,135890.2881025734,137737.4375,4151
2025-06-19,137537.74071297402,138436.35390093538,136848.803935537,137967.078125,3680
2025-06-20,138296.55648153313,138660.9940175649,132535.4480352228,134222.84375,24690
2025-06-23,134222.85849839548,135785.4470095164,134192.90472501935,135346.125,3479
2025-06-24,136289.66949710855,136913.7064453554,135620.70188858797,136399.5,4694
2025-06-25,136699.03528710819,139379.89796876683,136389.51296632076,139040.421875,5814
2025-06-26,139090.33709445057,142779.64326123564,138411.38494467686,142295.390625,11171
2025-06-27,142380.26018573475,145475.4832332507,141481.6470429075,142994.3125,20472
2025-06-30,143778.09778027536,144876.4026938747,141476.64975677858,142140.625,6320
2025-07-01,142779.6514254386,143473.58050054824,141471.67000328947,142280.421875,5748
2025-07-02,142579.96350113628,145455.52579023482,142579.96350113628,144986.25,7394
2025-07-03,145175.94785053824,147846.82584572522,143498.53662365442,144696.6875,7751
2025-07-04,145275.7908823325,145775.02040426494,143278.87279460285,143743.15625,4175
2025-07-07,144437.08756593426,144437.08756593426,141980.87827924688,142914.4375,3844
2025-07-08,142784.64556922452,145330.71630941908,141990.87057375212,144721.65625,4391
2025-07-09,144721.6565273239,151665.93967712237,143778.11266297317,150482.765625,24541
2025-07-10,149868.71119039992,150467.78665152076,146773.48797460884,148051.515625,9580
2025-07-11,148051.5164893079,148650.59195392608,145974.72154529818,148011.578125,7148
2025-07-14,148011.57288622393,150367.9362969868,146778.47593186283,148615.640625,11768
2025-07-15,149299.59007237124,151066.86268942532,148041.5315992141,150552.65625,9826
2025-07-16,149968.5448981767,152764.2301559323,149968.5448981767,152235.046875,7865
2025-07-17,151865.6196441027,152235.04948807586,149773.84795998438,150303.03125,6478
2025-07-18,150532.0292823644,151497.01023867013,147497.08917626302,148057.078125,8078
2025-07-21,148397.0782234426,148997.06641032983,146547.11464720697,148402.078125,6592
2025-07-22,148497.0716174833,150897.0242900891,147857.08423812175,148167.078125,6764
2025-07-23,148597.07277874128,150297.03929101492,148597.07277874128,149912.046875,3588
2025-07-24,149912.03471249918,152186.98971347263,149897.03500919606,150877.015625,7838
2025-07-25,150797.0311976409,151247.02233848267,148422.07795430935,149207.0625,4591
2025-07-28,149497.0446174859,150767.01951156085,147202.08998606695,147802.078125,4668
2025-07-29,148297.06773501055,150217.0297717686,148012.07337017928,149352.046875,4513
2025-07-30,149957.04815447427,150287.04165868188,148597.0749250125,150022.046875,3136
2025-07-31,149047.05431046872,149492.0455158908,147197.09087219724,147842.078125,6737
2025-08-01,148397.07583701724,149177.06046742745,145047.14184743498,145902.125,6369
2025-08-04,145897.12441955158,147192.0988960651,143992.16196568424,144282.15625,6882
2025-08-05,144597.14954232232,146277.11642497173,144197.1574274058,145842.125,3962
2025-08-06,146997.09723076134,147382.08962827048,145697.12290150972,146382.109375,4222
2025-08-07,145497.13190569438,146127.11948714172,143497.1713296711,144262.15625,4325
2025-08-08,144697.14838138947,144697.14838138947,141997.20159058264,142712.1875,2851
2025-08-11,142847.1740477949,143482.16148580925,141092.20876635367,142167.1875,2920
2025-08-12,142167.20219940762,142692.1918677954,137212.2997101478,140532.234375,11861
2025-08-13,141697.20929892323,141697.20929892323,138097.28019888,138837.265625,4360
2025-08-14,138997.25525816935,139747.24044841126,137897.27697914786,138472.265625,4133
2025-08-18,139097.2628057641,145247.14178675224,138752.2695946355,144512.15625,12991
2025-08-19,144497.14951845974,148822.0642012787,143247.17417660457,146532.109375,18003
2025-08-20,146497.10771053162,149197.05440553802,145857.12034578936,148787.0625,6421
2025-08-21,149527.05041033757,149997.04113924052,147462.09114398735,148122.078125,5446
