Symbol,Open,High,Low,Close,Volume,High_52W,Low_52W,SMA_10,SMA_20,SMA_50,SMA_200
DCMSHRIRAM,1049.5374124213176,1071.3219783272496,1045.558500709796,1059.9820556640625,31579,1289.1199386331916,897.8413886131767,1045.4889282226563,1052.2157501220704,1034.7836364746095,1069.5596905517577
FIVESTAR,747.8082323870948,793.250711105617,743.9714933324902,782.8367919921875,1413348,817.1678147615331,592.9449497663902,714.284375,709.5358337402344,705.8246960449219,701.6536541748047
CREDITACC,1073.949951171875,1139.0999755859375,1056.050048828125,1120.5999755859375,930944,1139.0999755859375,750.2000122070312,1023.9199951171875,993.6099975585937,974.4469995117188,949.7244982910156
INDUSINDBK,788.25,801.0,777.2999877929688,794.7000122070312,13986710,1086.550048828125,606.0,713.6300109863281,692.265005493164,861.9280041503906,917.4160021972656
TBOTEK,1070.0,1074.0,1038.699951171875,1046.199951171875,249254,1845.550048828125,996.0,1096.2499877929688,1155.4624816894532,1333.9839965820313,1489.2184997558593
RAMCOCEM,961.3412330647708,970.4255339480982,952.8059726207608,965.6837158203124,218856,1058.174161875729,786.842302621666,941.5204345703125,902.4378601074219,876.8599890136719,918.6354089355468
CESC,152.5563536579349,156.38768428192034,151.4727515579263,153.02076721191406,4269973,191.41943633872768,115.13322854629617,148.9582092285156,147.05173873901367,137.1169010925293,149.72942985534667
MEDANTA,1294.8339561177202,1298.2326350617643,1262.645469549544,1268.643310546875,277811,1298.33272503313,996.0914527560648,1248.86044921875,1237.0047241210937,1191.31517578125,1137.816434326172
ESCORTS,3222.674305918556,3262.3608460703654,3192.8347290119027,3247.739501953125,67535,3644.7409905762975,2810.092349166356,3169.9278564453125,3177.5319946289064,3096.5027197265626,3251.132512207031
SAMMAANCAP,115.5999984741211,122.77999877929688,115.27999877929688,120.23999786376952,13295635,170.25,97.61000061035156,111.19499893188477,111.4729995727539,118.25039962768555,137.35399909973145
NUVOCO,322.5,326.0,317.1000061035156,324.04998779296875,72345,385.6499938964844,287.5,314.55499877929685,312.679997253418,318.8719989013672,336.05499938964846
BASF,4510.076259619954,4572.328858168154,4440.35334924597,4452.1064453125,23572,6200.358594389983,4048.958797001571,4438.714697265625,4447.464868164063,4416.673251953125,4877.38033203125
NH,1805.747146464954,1856.6273146802648,1795.7706428933243,1850.0428466796875,1248178,1856.6273146802648,1235.190883261907,1708.5610473632812,1680.5345825195313,1538.5943798828125,1417.5359948730468
GODREJAGRO,760.0015105557899,778.6536954143854,745.0995437742218,752.0077514648438,605273,800.6118984817258,659.2404023551937,743.2096496582031,746.9696807861328,737.023837890625,733.8949114990235
PAGEIND,44441.10539342047,44594.43586278007,43991.00627368744,44371.859375,23368,49139.81489025204,38431.54282002408,42938.59140625,42370.891015625,41822.27265625,43942.8012890625
CAMPUS,237.23834227290544,245.58913253059083,235.73999484802397,242.7722320556641,1017232,336.3491857489296,209.76863076432875,237.4640869140625,237.79472427368165,255.99220977783204,271.8690803527832
LEMONTREE,142.63999938964844,143.5,140.3000030517578,142.33999633789062,2170527,162.39999389648438,117.51000213623048,139.6529998779297,137.03400039672852,133.91080062866212,138.0691004180908
SUNDARMFIN,5155.993949633325,5292.039782554892,5109.782318235228,5222.22412109375,124432,5292.039782554892,3897.398034972494,4734.8396484375,4719.230786132813,4606.513994140625,4476.203935546875
PTCIL,14668.0,14738.0,14001.0,14416.0,9829,17995.0,9756.2998046875,13829.70498046875,13825.052587890625,12925.39802734375,13296.973515625
GMRAIRPORT,85.5,87.5,85.48999786376953,86.52999877929688,8528599,87.5,67.75,83.96499862670899,80.16899948120117,75.42059982299804,76.93159973144532
BALKRISIND,2483.351852783558,2507.0407887970505,2456.477904877684,2492.210205078125,108472,2910.071188737346,2142.0028633111506,2402.3020263671874,2482.351513671875,2570.65138671875,2665.1388305664063
BIOCON,328.6605609128783,332.55534717177665,327.1126123321379,330.85760498046875,958981,404.1596339212172,290.61144213644866,325.3200225830078,334.0533508300781,338.7660516357422,352.1501593017578
MAHSEAMLES,679.9292437190069,698.0607142759123,676.5788436777319,689.2905883789062,172281,802.4149835129148,571.7318074099492,672.6126037597656,681.5551391601563,646.0096203613281,662.3254608154297
SBICARD,888.0,908.0,882.25,906.3499755859376,1615410,908.0,661.0748318097311,858.9799987792969,859.4824951171875,844.1428051757813,781.6814733886719
FSL,336.8999938964844,341.3999938964844,331.5,337.6499938964844,2282606,417.6676222027154,270.0,327.6249938964844,323.9074981689453,336.01513671875,350.8852600097656
CHAMBLFERT,641.6811775128209,661.5269871266195,641.6811775128209,660.1549072265625,3546717,661.5269871266195,443.3210692627492,628.0292053222656,610.9961059570312,564.6019970703124,529.0574197387696
LALPATHLAB,2732.901049154292,2755.1616733783603,2684.2057213693606,2697.224365234375,94872,3180.3033550878404,2279.2893119943133,2597.2995849609374,2539.011767578125,2565.299990234375,2747.2043139648435
CANFINHOME,698.1780750781302,714.6040306106476,685.1266022324114,706.2173461914062,774073,860.8688383995516,554.3143886333596,665.63876953125,663.9912170410156,633.0240454101563,686.4033917236328
APLAPOLLO,1562.546355036898,1598.8197768936884,1555.869706897524,1583.8719482421875,613416,1640.0757767959683,1268.273373337516,1521.7736450195312,1510.9838134765625,1453.5039135742188,1496.3309387207032
KPIL,924.671000451376,936.2305916205772,914.8973734760616,927.0027465820312,89050,1342.355503471496,780.2004397621,912.5656005859375,936.9499725341797,932.0631787109374,1063.6315789794921
AKUMS,501.0,501.0,481.0,486.3500061035156,291094,705.7000122070312,405.0,459.175,472.62250061035155,500.7150018310547,554.6760012817383
PETRONET,289.9405311902399,294.8147156816848,288.830578300803,293.366943359375,2378063,337.3309430259406,260.21294625101393,281.3118133544922,283.6572067260742,284.47760681152346,301.51740478515626
HEROMOTOCO,3725.5661090221615,3741.0324399858737,3609.717979775731,3715.61669921875,970749,4718.424905381831,3294.189009109812,3638.1923583984376,3612.653564453125,3718.6639013671875,3950.501481933594
PGEL,954.2793506061796,974.3704697054732,942.7344519891748,948.0321044921876,896364,1053.7354579475011,596.7869142657677,903.3668090820313,903.1868865966796,855.2340209960937,853.9126025390625
FINPIPE,173.29094411210932,175.2972722214686,170.83221898280337,172.45498657226562,1082070,273.9511510698855,151.37878141907683,172.8051010131836,173.57074737548828,179.22886352539064,208.13334243774415
KARURVYSYA,180.6050448861334,186.1329236648995,179.6892282775024,183.6660003662109,5974557,202.96409079866305,153.08937313269632,175.34777221679687,173.2438766479492,175.44199432373046,181.13604537963866
HDFCAMC,4053.922295676639,4174.558289441242,3986.29158132282,4140.30126953125,785102,4495.583954842504,3497.4158867437145,3912.7614013671873,3921.1391845703124,3801.0115380859374,3945.376799316406
TRIVENI,399.6405210502221,403.1156560158762,393.1866989711502,394.8746337890625,181057,532.1921103038593,310.87565771301007,378.8592254638672,381.8329483032227,373.65545532226565,398.04792419433596
APLLTD,837.2911077674471,851.4833572423697,833.4834649418066,840.5548706054688,300164,1111.5913747847176,717.2260087371483,848.7932373046875,869.8466613769531,840.2966918945312,934.6120989990235
MRF,123908.77677777228,126664.52394865586,123798.9462745849,126280.1171875,15654,133290.64732306203,101966.68068079263,116894.63125,114364.86640625,110999.026875,117036.51421875
OLAELEC,50.34999847412109,50.70000076293945,50.09999847412109,50.220001220703125,20597955,102.5,45.34999847412109,51.32500038146973,52.21299991607666,57.54559982299805,70.51030014038086
ALKEM,4970.824008774139,4981.3067667761725,4873.084867374871,4945.166015625,45830,5696.544137485727,4484.274290497364,4870.349462890625,4897.2003173828125,4814.086533203125,5079.074184570312
GRAVITA,1917.0906457706435,2018.2524344609055,1891.476330206118,1970.71142578125,536307,2466.603566854067,1375.052851923283,1771.8412475585938,1765.9309875488282,1755.46,1967.104404296875
TATACOMM,1575.4811122516471,1586.319318777456,1537.350379220784,1541.981201171875,244987,1834.4158607229397,1272.0114027814873,1556.87392578125,1558.1203125,1498.5249682617186,1599.0724926757812
TRIDENT,26.65160710107552,26.966777326767986,26.326587571009817,26.868288040161133,8805005,39.593297365759504,22.761223204098677,25.849893951416014,25.28061685562134,26.380167884826662,29.513750915527343
MANKIND,2508.910823334049,2598.97541514591,2499.014822255683,2580.582763671875,489420,3053.5964301796143,2131.15989647091,2421.43544921875,2385.327185058594,2370.919384765625,2526.1116918945313
POONAWALLA,385.7000122070313,391.0,383.25,384.6499938964844,1642443,391.0,267.20001220703125,363.31499633789065,348.69749755859374,314.89000061035154,322.8535006713867
NAVINFLUOR,4275.870506502349,4303.999628146529,4209.437112481237,4234.7734375,85788,4370.033556355124,3172.0401913620794,4090.909326171875,4132.711926269531,4084.233046875,3811.178244628906
AAVAS,2030.0,2034.0,1988.0999755859373,2024.300048828125,152637,2139.0,1622.050048828125,2042.5850341796875,2022.405029296875,1839.3620043945311,1756.1135021972657
KAJARIACER,783.3459299435176,812.459626701482,783.3459299435176,804.4384765625,409368,1231.3398985911783,751.3110042783517,794.9319885253906,833.5868316650391,870.3364074707031,990.0401550292969
COROMANDEL,2121.9403479974835,2164.279533344851,2093.4484695122883,2110.28466796875,538004,2261.908664638411,1589.9608702200394,2059.0343017578125,2014.4461364746094,1858.903330078125,1837.8132373046874
LUPIN,1923.0394771317283,1949.773228492994,1910.2191896876943,1925.225830078125,1443207,2388.0473251603485,1784.1036108597868,1963.3189819335937,2000.4654541015625,2001.437919921875,2068.72392578125
CHALET,817.0948083410398,829.1813941996252,802.4110630391875,810.5021362304688,113019,1051.28527305968,633.3483540596309,827.5581848144532,826.2146759033203,774.0085144042969,835.6527221679687
MARICO,710.9191252572413,719.1372590475241,706.0179297861614,707.7506713867188,2584756,725.7725083037013,572.1512228442679,681.8041198730468,654.5530395507812,634.4595654296875,635.2671600341797
JYOTICNC,1080.0,1091.699951171875,1063.5,1069.300048828125,254529,1504.300048828125,750.0999755859375,1030.0049926757813,1049.9099975585937,996.4839953613281,1134.6430010986328
UTIAMC,995.3954476366084,1007.0035578131284,984.754679974798,995.2020263671876,314247,1357.8102563520576,875.4449560110853,997.4365417480469,998.5538055419922,966.6672961425782,1094.5248217773437
FLUOROCHEM,3956.874721896264,3993.146122303236,3888.928388287945,3964.868408203125,36902,4531.171201493764,3218.058378917786,3838.817919921875,3898.990380859375,3783.8343310546875,3896.71267578125
