Symbol,Open,High,Low,Close,Prev_Close,Volume,High_52W,Low_52W,SMA_10,SMA_20,SMA_50,SMA_200
DCMSHRIRAM,1238.0115504138523,1255.4623777455015,1221.5579132154403,1239.2081298828125,1238.011474609375,59188,1494.37993821498,897.8413886131767,1273.730859375,1326.6392028808593,1315.1538305664062,1129.3418219315379
FIVESTAR,578.1500244140625,578.75,559.5,562.7000122070312,576.5,478833,847.0641819873257,559.5,581.1324523925781,588.7253448486329,682.1361206054687,700.5478608783923
CREDITACC,1375.199951171875,1390.0,1352.0,1363.0,1387.800048828125,133573,1409.0,750.2000122070312,1353.5900146484375,1296.9800170898438,1268.622001953125,1077.2052644428454
INDUSINDBK,770.8499755859375,773.0,754.1500244140625,756.4000244140625,770.8499755859375,3306397,1086.550048828125,606.0,773.3400024414062,786.2850036621094,824.6710009765625,870.8902645713405
TBOTEK,1410.0,1411.9000244140625,1350.0,1379.5999755859375,1417.300048828125,223521,1845.550048828125,996.0,1441.8900024414063,1409.6699951171875,1382.5819995117188,1402.3381591796874
RAMCOCEM,1064.0,1065.199951171875,1038.5999755859375,1043.5,1063.5999755859375,175899,1206.917514912965,786.842302621666,1077.210009765625,1112.1923583984376,1104.992919921875,981.8712093955592
CESC,158.1872419285546,165.51126994076944,155.20732147112687,156.38768005371094,158.90321350097656,13455154,191.41943633872768,115.13322854629617,158.86160278320312,160.1832160949707,165.3934292602539,155.9297129179302
MEDANTA,1395.800048828125,1408.4000244140625,1376.5,1400.0,1396.300048828125,316787,1455.975933269256,996.0914527560648,1377.1747680664062,1359.0360412597656,1284.0198950195313,1191.029722836143
ESCORTS,3552.0,3570.0,3505.0,3551.199951171875,3568.800048828125,48862,3720.0,2761.5532979782647,3526.8100341796876,3455.0500244140626,3385.139453125,3303.0095150596217
SAMMAANCAP,120.48999786376952,122.08000183105467,117.72000122070312,118.43000030517578,120.9000015258789,12377290,170.25,97.61000061035156,120.59700088500976,121.88950042724609,126.96939971923828,131.6754206205669
NUVOCO,453.0,467.2999877929688,450.1000061035156,464.3500061035156,453.1499938964844,642517,468.0,287.5,456.7,443.9750015258789,398.1280010986328,354.7457893773129
BASF,4587.7998046875,4587.7998046875,4450.0,4479.89990234375,4588.7998046875,14459,6200.358594389983,4048.958797001571,4570.059912109375,4664.719946289062,4889.89994140625,4865.3204152960525
NH,1845.0,1849.0,1772.0,1777.199951171875,1845.800048828125,312063,2364.630916434966,1235.190883261907,1825.9599975585938,1835.6694213867188,1928.371484375,1627.7648161235609
COHANCE,902.7000122070312,908.0,879.7000122070312,880.8499755859375,898.25,1869106,1123.4000244140625,879.7000122070312,912.4999938964844,938.7749938964844,983.3700024414062,1008.6256385216346
GODREJAGRO,749.5,755.0,732.2999877929688,738.0499877929688,749.0999755859375,148636,867.1500244140625,646.4108728187389,757.564990234375,788.9097076416016,781.5540600585938,748.666845703125
PAGEIND,46431.67451550654,46740.68737724563,45076.00518658664,45360.09765625,46700.81640625,53221,50257.30043281629,38431.53900330743,44915.01953125,45559.0796875,46492.991328125,45013.45575657895
CAMPUS,266.10648477991845,266.40617254199947,259.71354214693866,261.1619567871094,266.4061889648437,411536,336.3491857489296,209.76863076432875,263.3595306396484,264.4408355712891,274.7199975585937,271.3073077553197
LEMONTREE,168.0,168.22000122070312,164.47999572753906,165.19000244140625,168.22999572753906,3361348,174.89999389648438,117.51000213623048,156.41699981689453,151.21299896240234,147.83659912109374,140.91047359265778
SUNDARMFIN,4939.5,5113.7001953125,4762.7998046875,4878.89990234375,4970.5,845752,5397.012172994826,3897.398034972494,4869.010009765625,4734.315014648438,4909.929140625,4724.242827405427
PTCIL,14225.0,14225.0,13823.0,13964.0,14232.0,17424,17995.0,9756.2998046875,13819.8,14324.7,14542.08,13825.617639802631
GMRAIRPORT,88.19999694824219,89.0999984741211,87.30000305175781,88.69999694824219,88.83999633789062,9583336,97.0,67.75,89.53799972534179,89.98649940490722,89.08280029296876,82.12489467420076
BALKRISIND,2372.7386590433,2372.9382685458586,2299.064717063993,2320.328369140625,2363.05517578125,574342,2910.0714375171096,2142.003094440332,2396.7275390625,2472.8139526367186,2531.43693359375,2610.9250321237664
BIOCON,358.95001220703125,363.2999877929688,355.6000061035156,358.29998779296875,359.95001220703125,4216073,406.0,290.61144213644866,359.75,366.6125,369.9837957763672,353.143483854595
MAHSEAMLES,665.2999877929688,666.0,651.0,656.9000244140625,665.2999877929688,144943,802.4149835129148,571.7318074099492,672.06259765625,669.2655944824219,691.6756091308594,672.1676998740749
SBICARD,821.7000122070312,821.7000122070312,799.5499877929688,815.7000122070312,822.0499877929688,1470019,1027.25,661.0748318097311,810.3349914550781,806.7174987792969,877.7619958496093,836.2247221294202
FSL,372.1000061035156,372.25,351.75,353.95001220703125,372.0499877929688,1783668,417.6676222027154,270.0,365.5450012207031,357.8075012207031,361.68000061035156,356.49987423545434
CHAMBLFERT,548.6854875007893,553.4838012854772,539.7814672972365,546.8057861328125,549.7738037109375,991467,727.3856664636679,443.3210692627492,541.43369140625,536.0037322998047,539.722822265625,549.3843812641345
LALPATHLAB,3322.499915877191,3387.3535178387583,3291.170734827443,3301.04833984375,3352.33251953125,114524,3498.502428767509,2279.2893119943133,3351.624072265625,3249.4540771484376,3032.63771484375,2836.0912417763157
CANFINHOME,764.7999877929688,768.75,733.0,739.8499755859375,767.1500244140625,294477,860.8688383995516,554.3143886333596,761.9549987792968,754.8550018310547,777.2506372070312,722.9521770276522
APLAPOLLO,1645.199951171875,1650.0,1620.5,1628.9000244140625,1645.199951171875,682057,1929.2663427708444,1268.273373337516,1617.2538330078125,1595.9389892578124,1667.9581030273437,1594.9943128083883
