Symbol,Open,High,Low,Close,Volume,High_52W,Low_52W,SMA_10,SMA_20,SMA_50,SMA_200
DCMSHRIRAM,1248.4819959118388,1250.4763760970015,1228.538194060212,1233.125244140625,41194,1494.37993821498,897.8413886131767,1236.6154541015626,1261.3856567382813,1326.4702392578124,1134.180364714196
FIVESTAR,536.7000122070312,536.8499755859375,528.7000122070312,529.8499755859375,1152957,847.0641819873257,522.0,539.1100036621094,560.7291076660156,644.3856530761718,693.1281084990381
CREDITACC,1340.9000244140625,1351.5,1300.9000244140625,1305.0999755859375,314425,1425.0,750.2000122070312,1362.2,1352.7000061035155,1305.4280004882812,1090.0904534881438
INDUSINDBK,753.6500244140625,755.0999755859375,745.0999755859375,746.1500244140625,1347461,1086.550048828125,606.0,752.3449951171875,764.1849975585938,809.3549987792969,865.5085436950377
TBOTEK,1590.0999755859375,1688.0,1578.4000244140625,1642.5999755859375,1507875,1845.550048828125,996.0,1466.6800048828125,1455.0450073242187,1416.1419995117187,1405.6856799868483
RAMCOCEM,1058.0,1064.199951171875,1041.9000244140625,1055.300048828125,141142,1206.917514912965,786.842302621666,1061.330029296875,1070.6150207519531,1110.3928588867188,985.5544225031407
CESC,150.60200250436475,153.34004652865383,149.12171935795342,152.92401123046875,2819410,191.41943633872768,115.13322854629617,150.57684478759765,154.73615570068358,163.36631042480468,155.65842322728142
MEDANTA,1386.0,1393.300048828125,1368.9000244140625,1377.699951171875,200830,1455.975933269256,996.0914527560648,1398.5400024414062,1387.2024230957031,1329.08828125,1200.4072731823178
ESCORTS,3794.89990234375,3798.0,3720.0,3767.199951171875,121758,4180.0,2761.5532979782647,3642.939990234375,3575.6900146484377,3455.2278173828126,3318.8442628179964
SAMMAANCAP,138.44000244140625,138.44000244140625,136.00999450683594,136.32000732421875,4213030,170.25,97.61000061035156,131.24400100708007,125.74750099182128,127.58440002441407,131.72030114408713
NUVOCO,453.2999877929688,460.0,451.0,452.3500061035156,131131,477.5,287.5,460.2100006103516,457.5225006103516,418.56200134277344,359.4947235260777
BASF,4593.89990234375,4640.0,4551.2998046875,4619.2998046875,6432,6200.358594389983,4048.958797001571,4609.499951171875,4595.68994140625,4827.0394921875,4854.401902088568
NH,1784.699951171875,1792.0999755859375,1739.0,1745.300048828125,259623,2364.630916434966,1235.190883261907,1779.8799926757813,1802.3399963378906,1890.5711694335937,1634.657864517902
COHANCE,991.5,1027.0,985.3499755859376,1019.7999877929688,515762,1123.4000244140625,856.2999877929688,920.1849975585938,919.3774963378906,972.4040026855469,999.9287333872127
GODREJAGRO,735.5,740.3499755859375,731.0499877929688,736.4000244140625,51478,867.1500244140625,646.4108728187389,739.075,751.4374969482421,779.1756140136719,748.2381944512603
PAGEIND,44158.93418704864,44358.297321075945,43795.0964674488,44168.90234375,7704,50257.30043281629,38431.54282002408,44541.2140625,44696.5568359375,46170.334140625,44987.98311871859
CAMPUS,276.395176989633,276.395176989633,269.85237471149514,272.0,352791,336.3491857489296,209.76863076432875,267.04046630859375,265.10010833740233,272.24572631835935,271.143875275425
LEMONTREE,178.0,178.19000244140625,174.6999969482422,176.6199951171875,3466392,180.67999267578125,117.51000213623048,170.46900024414063,162.28899993896485,154.04979949951172,142.27381900806523
SUNDARMFIN,4461.0,4589.0,4451.7998046875,4569.0,45404,5397.012172994826,3897.398034972494,4530.969970703125,4681.605004882813,4844.137578125,4713.753452320195
PTCIL,13600.0,13679.0,13498.0,13560.0,4213,17995.0,9756.2998046875,13763.8,13806.7,14367.82,13821.815836997488
GMRAIRPORT,86.36000061035156,88.55000305175781,86.3499984741211,86.81999969482422,14512873,97.0,67.75,86.82399978637696,88.21199989318848,89.77700012207032,82.32798989454106
BALKRISIND,2335.50222850768,2345.984285955566,2291.178197360276,2295.8701171875,140929,2910.071188737346,2142.0028633111506,2320.7674560546875,2363.3346313476563,2515.1337890625,2597.8045390526854
BIOCON,364.1499938964844,366.5499877929688,361.2999877929688,364.5,819081,406.0,290.61144213644866,357.92999877929685,358.0300003051758,371.4419787597656,353.3581001626786
MAHSEAMLES,640.0,642.4000244140625,630.7000122070312,638.6500244140625,83045,802.4149835129148,571.7318074099492,647.7,659.2565673828125,683.2504870605469,671.0148892043223
SBICARD,807.5,821.0,802.75,819.3499755859375,813502,1027.25,661.0748318097311,803.0199951171875,805.7824920654297,847.5849963378906,834.6592821284155
FSL,347.04998779296875,352.79998779296875,340.45001220703125,351.45001220703125,1326344,417.6676222027154,270.0,355.3300018310547,361.05250091552733,356.9700006103516,356.4539000544716
CHAMBLFERT,543.590449182275,543.590449182275,524.3478599797526,532.1636352539062,2152635,727.3856664636679,443.3210692627492,544.7974365234375,541.6093017578125,539.6334143066406,549.1668392929
LALPATHLAB,3203.468475989866,3203.468475989866,3152.8827165656485,3168.8466796875,41011,3498.502428767509,2279.2893119943133,3264.5008056640627,3303.597521972656,3112.4498974609373,2855.282891508323
