Symbol,Open,High,Low,Close,Volume,High_52W,Low_52W,SMA_10,SMA_20,SMA_50,SMA_200
DCMSHRIRAM,1186.5,1188.800048828125,1169.5,1174.199951171875,23788,1494.37993821498,897.8413886131767,1218.639990234375,1244.3149291992188,1223.1997338867188,1163.5156188964843
FIVESTAR,609.3499755859375,610.5999755859375,590.9500122070312,593.5,719468,847.0641819873257,501.0,626.575,617.5824981689453,565.515,660.6034338378906
CREDITACC,1321.0,1337.5,1306.5999755859375,1328.300048828125,121617,1490.0999755859375,750.2000122070312,1354.8200073242188,1386.0899963378906,1369.3339965820312,1201.1372509765624
INDUSINDBK,844.0,844.0,827.5,829.4000244140625,5136903,1086.550048828125,606.0,836.9799987792969,813.0675018310546,771.9300024414063,815.8935015869141
TBOTEK,1644.0,1710.0,1610.0,1678.0,960256,1845.550048828125,996.0,1607.5599975585938,1583.020001220703,1573.6419873046875,1388.3909979248047
RAMCOCEM,996.0,1001.9000244140624,988.5,996.7999877929688,130379,1206.917514912965,786.842302621666,1000.5700012207031,1022.9899993896485,1023.427001953125,1000.3028216552734
CESC,172.47999572753906,174.77999877929688,168.8300018310547,169.8300018310547,1361502,191.41943633872768,115.13322854629617,172.86600036621093,176.36800079345704,168.0871026611328,157.0080871963501
MEDANTA,1207.0,1215.0,1190.5,1213.0999755859375,156485,1455.975933269256,996.0914527560648,1196.3000122070312,1261.5700073242188,1314.8840014648438,1255.599556274414
ESCORTS,3599.89990234375,3615.39990234375,3552.0,3557.800048828125,49521,4180.0,2761.5532979782647,3590.5699951171873,3667.889990234375,3652.497998046875,3381.8947106933592
SAMMAANCAP,164.5800018310547,165.5,151.41000366210938,157.02000427246094,102179494,192.9499969482422,97.61000061035156,175.54400177001952,181.21300048828124,164.2342007446289,133.7093501663208
NUVOCO,370.0,370.0,360.0,360.75,105809,477.5,287.5,370.2099975585938,391.7099975585937,415.45200073242194,374.4752500915527
BASF,4440.0,4440.0,4345.2001953125,4368.7998046875,13531,6200.358594389983,4048.958797001571,4435.839990234375,4435.439990234375,4524.422001953125,4649.694956054687
NH,1995.0,2044.0,1995.0,2017.0,1192447,2364.630916434966,1235.190883261907,1863.939990234375,1825.865008544922,1786.6160107421874,1755.9386291503906
COHANCE,586.0,594.5,577.0,581.8499755859375,466328,1123.4000244140625,573.7999877929688,641.0099975585938,720.5775024414063,834.2070031738281,938.8555145263672
GODREJAGRO,568.3499755859375,576.5,567.5,571.2000122070312,185561,867.1500244140625,560.0499877929688,577.9650024414062,617.3225067138671,664.3840014648438,731.5031509399414
PAGEIND,39170.0,39170.0,38500.0,38565.0,14684,50257.30043281629,38431.54282002408,39531.43515625,40127.920703125,41481.0328125,43835.4182421875
CAMPUS,263.25,264.95001220703125,256.8500061035156,257.95001220703125,715236,336.3491857489296,209.76863076432875,271.80999755859375,275.2524978637695,276.1439990234375,268.2461162567139
LEMONTREE,151.50999450683594,155.0,151.0500030517578,152.4600067138672,2159567,180.67999267578125,117.51000213623048,157.37000274658203,161.9900016784668,166.10640045166016,148.21319995880128
SUNDARMFIN,4726.0,4750.0,4648.89990234375,4661.5,30990,5397.012172994826,3897.398034972494,4737.130029296875,4714.7349853515625,4584.452001953125,4772.74658203125
PTCIL,17230.0,17300.0,17100.0,17153.0,5035,17995.0,9756.2998046875,17297.8,17253.9,16349.92,14494.0667578125
GMRAIRPORT,102.91999816894533,104.44000244140624,102.5999984741211,103.2699966430664,22471259,104.8499984741211,67.75,98.10499954223633,95.94799995422363,92.22839935302734,85.72614986419677
BALKRISIND,2336.0,2336.0,2262.199951171875,2299.699951171875,275808,2910.071188737346,2142.0028633111506,2330.61005859375,2327.9399169921876,2339.63107421875,2493.608277587891
BIOCON,407.8999938964844,407.8999938964844,391.2999877929688,395.1499938964844,8463319,424.9500122070313,290.61144213644866,402.95,388.0475021362305,368.70600158691406,354.19457275390624
MAHSEAMLES,567.9000244140625,573.9000244140625,563.3499755859375,571.0,141765,802.4149835129148,540.5,560.6100036621094,566.1950042724609,586.782001953125,647.7512225341796
SBICARD,863.7000122070312,877.3499755859375,863.7000122070312,874.0999755859375,390374,1027.25,661.0748318097311,872.725,882.8300048828125,891.4210009765625,877.4156097412109
FSL,369.1000061035156,370.0,355.5,356.8999938964844,656689,417.6676222027154,270.0,358.4200042724609,353.6800003051758,346.9100006103516,351.6176528930664
CHAMBLFERT,457.0,459.8999938964844,454.0,457.5,831351,727.3856664636679,443.3210692627492,464.6882690429687,472.70816497802736,496.0760791015625,549.5320050048828
LALPATHLAB,3208.10009765625,3222.800048828125,3121.800048828125,3127.39990234375,151476,3532.026982195552,2279.2893119943133,3130.410009765625,3125.123681640625,3169.694140625,2915.2993505859376
CANFINHOME,894.0,898.2999877929688,879.0,881.5999755859375,364169,925.0,554.3143886333596,886.3599914550781,875.1674926757812,820.5459924316406,743.7211123657227
APLAPOLLO,1730.0,1746.0999755859375,1714.0,1721.199951171875,1063781,1929.2663427708444,1268.273373337516,1769.9300048828125,1775.9449951171875,1738.5659912109375,1647.1036029052734
KPIL,1239.300048828125,1239.300048828125,1213.0999755859375,1230.699951171875,145187,1342.355503471496,780.2004397621,1251.0599731445313,1259.8099975585938,1261.3660009765624,1120.0072302246094
AKUMS,427.5499877929688,429.2000122070313,420.5,421.5499877929688,81163,705.7000122070312,405.0,438.5799957275391,451.8124969482422,456.2559997558594,505.9687512207031
PETRONET,274.0,275.8500061035156,272.95001220703125,274.3500061035156,2008463,337.3309430259406,259.4212626731403,273.11863708496094,273.39403839111327,272.0442840576172,284.03028991699216
HEROMOTOCO,5950.0,6042.0,5921.5,5999.5,1276202,6042.0,3294.189009109812,5612.8,5550.9,5493.14,4486.513544921875
PGEL,581.0999755859375,596.75,578.2000122070312,590.5499877929688,3184478,1053.7354579475011,464.7951314723957,558.8949951171875,564.2524963378906,558.250825805664,724.4269044494629
FINPIPE,183.5,183.9900054931641,179.0,179.9499969482422,814186,273.9511510698855,151.37878141907683,185.854997253418,187.19899826049806,196.80499908447266,194.35705543518065
KARURVYSYA,253.6999969482422,256.9800109863281,247.22999572753903,248.02999877929688,1546347,258.5,153.08937313269632,250.19299926757813,249.04750061035156,230.90220001220703,203.324165725708
HDFCAMC,5413.5,5419.5,5380.5,5399.0,361804,5934.5,3497.4158867437145,5441.05,5444.95,5595.75,4892.403039550782
TRIVENI,364.1499938964844,365.1499938964844,360.75,361.25,107767,532.1921103038593,310.87565771301007,364.25500183105476,360.6650024414063,354.56200134277344,373.98026321411135
APLLTD,908.7999877929688,911.0999755859376,896.0,899.4500122070312,56894,1111.5913747847176,717.2260087371483,917.0300048828125,918.7250030517578,927.502001953125,918.8707009887695
MRF,153496.96939782822,154496.94965449162,151502.0087857848,151947.0,5220,163596.77656220738,101966.68068079263,156586.4109375,157527.3921875,154619.45,137282.4033984375
OLAELEC,42.0,42.34999847412109,41.0,41.880001068115234,6880209,102.5,39.59999847412109,42.96400032043457,46.86700019836426,51.935600204467775,51.25015003204346
ALKEM,5750.0,5750.0,5673.0,5700.0,80099,5868.0,4484.274290497364,5712.0,5636.95,5548.01,5115.038642578125
GRAVITA,1707.0999755859375,1742.0999755859375,1694.800048828125,1701.5999755859375,94475,2466.603566854067,1375.052851923283,1726.7,1714.925,1653.3860009765624,1759.880025024414
TATACOMM,1894.0,1936.9000244140625,1865.9000244140625,1917.4000244140625,367033,2004.0,1272.0114027814873,1871.6700073242187,1883.0100036621093,1781.98400390625,1644.4768103027343
TRIDENT,28.6299991607666,28.799999237060547,28.5,28.59000015258789,3636439,39.593297365759504,22.761223204098677,28.39799976348877,28.51599988937378,28.662599945068358,28.604141063690186
MANKIND,2239.0,2256.5,2222.89990234375,2239.5,1310952,3053.5964301796143,2131.15989647091,2244.9500244140627,2321.3500122070313,2433.256005859375,2443.211885986328
POONAWALLA,468.6000061035156,470.1000061035156,464.5499877929688,468.4500122070313,442595,570.4000244140625,267.20001220703125,469.9600036621094,475.175,488.8980029296875,413.07924987792967
NAVINFLUOR,6050.0,6065.0,5961.0,5979.0,84783,6168.5,3172.0401913620794,6010.0,5744.0640869140625,5168.084140625,4656.7978125
