Symbol,Open,High,Low,Close,Prev_Close,Volume,High_52W,Low_52W,SMA_10,SMA_20,SMA_50,SMA_200
DCMSHRIRAM,1044.4643536283872,1057.3958170542626,1030.5381622466757,1035.412353515625,1049.587158203125,79313,1289.1199386331916,897.8413886131767,1044.9219482421875,1024.714028930664,1036.6378210449218,1061.125138410433
FIVESTAR,709.3414856004993,712.032172173863,680.8402921217386,689.2112426757812,705.6044311523438,720726,847.0641819873257,592.9449497663902,683.9345703125,683.8423889160156,708.4057543945313,704.208905077356
CREDITACC,1174.9000244140625,1193.9000244140625,1169.0,1185.9000244140625,1173.800048828125,312912,1253.5999755859375,750.2000122070312,1146.3400024414063,1146.3125122070312,1070.5450036621094,991.0181106206938
INDUSINDBK,820.5,820.7000122070312,802.9000244140625,805.1500244140625,820.7000122070312,5308859,1086.550048828125,606.0,790.1300048828125,804.6725006103516,753.8540026855469,894.1303167868787
TBOTEK,1295.5,1327.5,1285.4000244140625,1303.800048828125,1289.5,149270,1845.550048828125,996.0,1247.6800048828125,1191.9350158691407,1161.5109985351562,1419.0917343980684
RAMCOCEM,973.3205284124804,978.61138679118,952.6561727001804,955.0520629882812,971.9229125976562,796305,1058.174161875729,786.842302621666,985.5744018554688,969.0354400634766,933.6709619140624,929.5244654858207
CESC,162.5313513932896,165.25004111098636,161.18651853509553,161.6025390625,162.0282440185547,2488068,191.41943633872768,115.13322854629617,163.44177703857423,160.43525009155275,152.57977783203125,151.6240709560124
MEDANTA,1201.5675255029323,1214.562848158122,1192.7706428950162,1209.7645263671875,1209.864501953125,111168,1298.33272503313,996.0914527560648,1202.597119140625,1205.0662353515625,1219.4590454101562,1153.4588200126107
ESCORTS,3530.718196163943,3530.9170781118805,3342.032651293359,3354.963134765625,3513.311767578125,596236,3644.7409905762975,2810.092349166356,3488.7936279296873,3380.2123779296876,3267.4675,3277.0827425258367
SAMMAANCAP,121.1999969482422,123.5500030517578,121.1999969482422,122.37999725341795,121.01000213623048,2990255,170.25,97.61000061035156,124.01599960327148,121.20450019836426,117.01300003051757,134.13488126739742
NUVOCO,355.3999938964844,357.1499938964844,349.5,350.45001220703125,355.3999938964844,73388,385.6499938964844,287.5,356.5450012207031,347.6075012207031,328.0949987792969,337.60905444528174
BASF,5257.107446367164,5367.070339260217,5209.098047789352,5302.32763671875,5219.85546875,55361,6200.358594389983,4048.958797001571,5055.42880859375,4716.376220703125,4575.426357421875,4834.304852823573
NH,1740.8999720787972,1745.2896582562112,1706.97985800964,1720.2486572265625,1738.5054931640625,303976,1867.2024031797832,1235.190883261907,1743.673388671875,1760.7731201171875,1721.9475537109374,1492.5812075156866
COHANCE,1092.199951171875,1119.0,1087.0999755859375,1108.800048828125,1092.199951171875,130132,1123.4000244140625,990.0,1079.8999755859375,1077.4133219401042,1077.4133219401042,1077.4133219401042
GODREJAGRO,743.323149837904,751.0208548312664,731.8752268165533,735.3787231445312,743.915283203125,127403,800.6118984817258,646.4108728187389,733.5430908203125,715.4411224365234,734.8516979980469,732.6185216227855
PAGEIND,46611.43779490725,46676.01033234692,45697.4880342228,45791.86328125,46477.328125,24287,49139.81093343267,38431.53900330743,46940.43671875,46193.053125,44073.898359375,44340.72201033465
CAMPUS,273.8179843010976,291.4784981022561,272.1997740082794,287.4229736328125,274.77691650390625,1171990,336.3491857489296,209.76863076432875,267.7037292480469,256.13099517822263,246.79599487304688,267.950635174128
LEMONTREE,140.5,143.3000030517578,138.33999633789062,141.13999938964844,139.85000610351562,3194121,162.39999389648438,117.51000213623048,138.60999908447266,137.49699935913085,137.59299987792969,138.28614188366987
