Symbol,Open,High,Low,Close,Volume,High_52W,Low_52W,SMA_10,SMA_20,SMA_50,SMA_200
DCMSHRIRAM,1194.334602292699,1198.423179318061,1182.3683204092529,1186.7559814453125,31688,1494.37993821498,897.8413886131767,1174.251220703125,1213.3360717773437,1269.2410498046875,1142.9427233886718
FIVESTAR,537.2999877929688,538.0499877929688,530.9000244140625,532.5999755859375,272315,847.0641819873257,501.0,526.7049926757812,532.1849975585938,561.4441821289063,681.8657577514648
CREDITACC,1399.9000244140625,1409.5,1380.800048828125,1392.0,142625,1430.0,750.2000122070312,1383.4800048828124,1357.3049926757812,1332.4300024414063,1131.335500793457
INDUSINDBK,742.9500122070312,752.4000244140625,740.4500122070312,749.0,4348518,1086.550048828125,606.0,738.7300048828125,740.4575042724609,763.6300012207031,842.0422518920899
TBOTEK,1599.0,1599.0,1526.5999755859375,1532.5,62789,1845.550048828125,996.0,1547.4699951171874,1574.5099853515626,1481.3599951171875,1405.8977508544922
RAMCOCEM,990.5,1025.0,987.75,1005.7000122070312,1829634,1206.917514912965,786.842302621666,1006.4550048828125,1026.8425048828126,1072.1082250976563,987.3720867919922
CESC,161.23488021241823,161.23488021241823,157.21973593826027,157.403564453125,2014748,191.41943633872768,115.13322854629617,159.27762756347656,159.18716583251953,158.3937155151367,154.43786518096923
MEDANTA,1379.800048828125,1387.9000244140625,1339.0,1351.9000244140625,422932,1455.975933269256,996.0914527560648,1325.0799926757813,1339.5799926757813,1357.1511401367188,1220.6930114746094
ESCORTS,3537.0,3569.39990234375,3488.199951171875,3525.199951171875,380085,4180.0,2761.5532979782647,3576.4699951171874,3635.610009765625,3554.9060107421874,3334.3023193359377
SAMMAANCAP,160.74000549316406,164.27999877929688,159.13999938964844,163.08999633789062,32999098,170.25,97.61000061035156,151.73200225830078,144.7045021057129,132.8142010498047,130.14104999542235
NUVOCO,423.25,430.6000061035156,421.6000061035156,428.9500122070313,102325,477.5,287.5,429.9100036621094,435.90250396728527,442.08900207519537,366.77325042724607
BASF,4700.0,4700.0,4637.39990234375,4666.10009765625,7838,6200.358594389983,4048.958797001571,4574.07001953125,4606.405004882812,4646.040380859375,4756.4879467773435
NH,1790.300048828125,1825.0,1765.0,1781.4000244140625,492281,2364.630916434966,1235.190883261907,1746.55,1758.0600158691407,1802.4886083984375,1678.1730908203126
COHANCE,874.9500122070312,876.5499877929688,865.4500122070312,874.0499877929688,102942,1123.4000244140625,856.2999877929688,881.2049987792968,923.2350036621094,931.1269995117187,985.2707536805351
GODREJAGRO,679.5499877929688,683.0,672.5999755859375,674.0499877929688,109899,867.1500244140625,646.4108728187389,697.8849975585938,715.897494506836,753.3105749511719,744.9125524902344
PAGEIND,41975.908982829176,42250.03329938767,41487.46929150677,41562.23046875,12080,50257.30043281629,38431.54282002408,41835.855859375,43017.331640625,44391.6240625,44729.5452734375
CAMPUS,275.70001220703125,279.0,271.54998779296875,278.0,303949,336.3491857489296,209.76863076432875,271.4050018310547,273.55249938964846,268.98201171874996,269.8109903717041
LEMONTREE,170.75999450683594,171.47999572753906,166.89999389648438,167.22999572753906,1468137,180.67999267578125,117.51000213623048,168.52899932861328,171.3054992675781,162.37859924316408,145.52039989471436
SUNDARMFIN,4489.60009765625,4503.10009765625,4407.10009765625,4426.60009765625,31772,5397.012172994826,3897.398034972494,4472.180078125,4514.340014648437,4614.8680078125,4742.1471020507815
PTCIL,16650.0,16651.0,15850.0,15976.0,25964,17995.0,9756.2998046875,15682.0,15154.35,14580.14,14140.387006835937
GMRAIRPORT,88.7699966430664,89.1500015258789,88.20999908447266,88.38999938964844,3176718,97.0,67.75,88.57899932861328,89.22399864196777,89.13019927978516,82.9101498413086
BALKRISIND,2294.67212158385,2308.049125426973,2270.4135980347214,2275.70458984375,171438,2910.071188737346,2142.0028633111506,2337.6585693359375,2388.3068725585936,2423.5123388671873,2561.0795239257814
BIOCON,349.29998779296875,351.1000061035156,346.8999938964844,347.79998779296875,1920469,406.0,290.61144213644866,348.8700012207031,355.96000213623046,361.7910009765625,352.84204391479494
MAHSEAMLES,597.75,601.0,582.0,584.9500122070312,249228,802.4149835129148,571.7318074099492,597.9000061035156,614.4475036621094,644.5843627929687,662.990270690918
SBICARD,903.1500244140624,914.0,891.9500122070312,905.1500244140624,1200961,1027.25,661.0748318097311,883.1649963378907,876.8799987792969,835.8539978027344,850.1120980834961
FSL,330.5,331.95001220703125,322.29998779296875,326.3500061035156,768553,417.6676222027154,270.0,338.2900024414063,352.2375,354.36800048828127,355.3028092956543
CHAMBLFERT,512.5253011145421,513.3167575263568,503.42343161016606,505.2042236328125,472076,727.3856664636679,443.3210692627492,513.9153198242187,525.7898193359375,533.0292138671875,550.6906224060059
LALPATHLAB,3183.7132142715054,3193.39156236846,3116.365240803118,3139.51318359375,61755,3532.026982195552,2279.2893119943133,3189.180908203125,3241.0986572265624,3241.4091650390624,2877.6670922851563
CANFINHOME,804.5,807.0,792.3499755859375,804.3499755859375,174773,860.8688383995516,554.3143886333596,775.8799926757813,767.959994506836,758.7070007324219,720.3258853149414
APLAPOLLO,1745.0,1752.4000244140625,1728.699951171875,1736.300048828125,217829,1929.2663427708444,1268.273373337516,1703.7299926757812,1698.3799926757813,1642.5175756835938,1612.336142578125
KPIL,1256.4000244140625,1275.5999755859375,1248.300048828125,1272.800048828125,97071,1342.355503471496,780.2004397621,1250.8500244140625,1263.0050048828125,1233.8500073242187,1110.718682861328
