Symbol,Open,High,Low,Close,Prev_Close,Volume,High_52W,Low_52W,SMA_10,SMA_20,SMA_50,SMA_200
DCMSHRIRAM,1331.2488444566093,1336.833084926845,1313.399116503826,1322.1744384765625,1326.4622802734375,95262,1494.37993821498,897.8413886131767,1259.3015502929688,1220.2515747070313,1227.124208984375,1154.6589935302734
FIVESTAR,606.0,659.9000244140625,606.0,642.75,605.0499877929688,33255155,847.0641819873257,501.0,551.6,539.9850006103516,541.6890002441406,664.1270721435546
CREDITACC,1404.0,1483.800048828125,1390.300048828125,1472.0,1403.699951171875,1455294,1490.0999755859375,750.2000122070312,1384.5199951171876,1387.725,1370.157998046875,1170.7465002441406
INDUSINDBK,807.0,810.0,797.25,800.9500122070312,807.4500122070312,4103276,1086.550048828125,606.0,770.1549987792969,759.2125030517578,753.0790002441406,825.9527514648438
TBOTEK,1543.0,1565.0,1501.0,1508.800048828125,1540.9000244140625,72841,1845.550048828125,996.0,1574.5099975585938,1560.969989013672,1534.4419897460937,1392.154249267578
RAMCOCEM,1057.6500244140625,1062.3499755859375,1036.4000244140625,1055.3499755859375,1057.6500244140625,131619,1206.917514912965,786.842302621666,1044.4200073242187,1023.3150054931641,1040.8580090332032,991.8786517333984
CESC,182.0,182.1000061035156,178.5,180.0399932861328,181.6100006103516,1461550,191.41943633872768,115.13322854629617,175.65542449951172,169.08854904174805,161.5796826171875,154.43128078460694
MEDANTA,1375.0999755859375,1377.5999755859375,1360.0,1372.5999755859375,1375.800048828125,59322,1455.975933269256,996.0914527560648,1369.6900024414062,1361.2550109863282,1363.866201171875,1242.679716796875
ESCORTS,3725.5,3732.89990234375,3685.0,3713.89990234375,3721.5,26546,4180.0,2761.5532979782647,3703.949951171875,3653.8249755859374,3642.3960009765624,3367.895467529297
SAMMAANCAP,184.3000030517578,185.92999267578125,182.5,184.3800048828125,184.0399932861328,8015500,191.1999969482422,97.61000061035156,178.7719985961914,170.99399948120117,148.86560089111327,131.55135021209716
NUVOCO,418.3500061035156,427.0,417.3999938964844,422.3500061035156,418.3500061035156,128799,477.5,287.5,419.1299987792969,422.3075012207031,438.22600097656255,372.2662501525879
BASF,4441.5,4473.5,4415.10009765625,4433.39990234375,4423.89990234375,10899,6200.358594389983,4048.958797001571,4479.4099609375,4539.9,4573.727978515625,4678.461489257813
NH,1799.9000244140625,1805.4000244140625,1778.4000244140625,1794.9000244140625,1799.9000244140625,148237,2364.630916434966,1235.190883261907,1767.7000122070312,1765.3950134277343,1773.2180078125,1715.1447119140626
COHANCE,793.0,794.75,772.75,778.9500122070312,786.4500122070312,1750195,1123.4000244140625,766.7999877929688,860.360009765625,868.1325073242188,900.3120043945313,969.7655739706071
GODREJAGRO,669.4000244140625,669.4000244140625,660.0,664.25,666.9000244140625,101928,867.1500244140625,646.4108728187389,663.7550048828125,667.557504272461,707.217998046875,739.667102355957
PAGEIND,41228.29568628648,41362.86580034956,40485.66801979027,40814.6171875,41228.296875,20231,50257.30043281629,38431.53900330743,41074.288671875,41269.415234375,42946.60765625,44222.3915625
CAMPUS,278.1499938964844,281.20001220703125,277.0,280.0,278.8500061035156,131545,336.3491857489296,209.76863076432875,281.80499877929685,280.3550003051758,274.19367919921876,268.24237144470214
LEMONTREE,165.0800018310547,168.75,164.41000366210938,168.2100067138672,165.0800018310547,2288534,180.67999267578125,117.51000213623048,166.16600036621094,166.19550018310548,168.18119995117186,146.54499980926514
SUNDARMFIN,4640.5,4640.5,4551.0,4575.7998046875,4640.5,41554,5397.012172994826,3897.398034972494,4589.130029296875,4507.785009765625,4579.793994140625,4754.456994628907
PTCIL,16990.0,17215.0,16977.0,17035.0,17004.0,8120,17995.0,9756.2998046875,16982.4,16673.35,15282.26,14379.158256835937
GMRAIRPORT,93.20999908447266,95.5,93.1999969482422,94.47000122070312,92.97000122070312,26516655,97.0,67.75,92.29700012207033,90.80899925231934,89.50339935302735,83.93284980773926
BALKRISIND,2342.2908005311474,2344.9861381521496,2302.059614550386,2322.62451171875,2325.41943359375,95329,2910.0714375171096,2142.003094440332,2309.2970947265626,2287.389599609375,2345.2056494140625,2519.7819287109373
BIOCON,380.0,380.2000122070313,371.6499938964844,376.6000061035156,373.7000122070313,7053197,406.0,290.61144213644866,364.3050018310547,357.49500122070316,357.80300170898437,352.988076171875
MAHSEAMLES,574.5,581.0999755859375,572.7999877929688,579.25,572.7999877929688,141620,802.4149835129148,567.0,574.9049987792969,580.8899993896484,614.6930004882812,652.5115432739258
SBICARD,912.0,915.0,883.0999755859375,885.75,910.9500122070312,1323903,1027.25,661.0748318097311,919.7299987792969,915.1949981689453,871.6659973144531,867.8638342285157
FSL,350.20001220703125,354.20001220703125,348.25,353.1499938964844,348.8999938964844,1205679,417.6676222027154,270.0,333.8300018310547,330.2875030517578,347.9830004882813,351.8474816894531
CHAMBLFERT,490.1168497467496,490.1168497467496,478.4427017544337,479.4320373535156,490.1168518066406,944631,727.3856664636679,443.3210692627492,483.0925750732422,490.90832672119143,519.5347491455078,550.2033448791503
LALPATHLAB,3076.056162539783,3110.0794565841284,3063.1853146316894,3082.441650390625,3082.641357421875,94609,3532.026982195552,2279.2893119943133,3101.309228515625,3117.5725219726564,3219.454501953125,2889.268543701172
CANFINHOME,866.4000244140625,879.4000244140625,858.0,874.6500244140625,862.8499755859375,389000,879.4000244140625,554.3143886333596,844.8149963378906,819.717495727539,782.3979968261718,728.2142080688477
APLAPOLLO,1825.0,1825.0,1754.300048828125,1784.5999755859375,1804.800048828125,1459618,1929.2663427708444,1268.273373337516,1762.4699951171874,1748.6049926757812,1700.17259765625,1628.1724334716796
KPIL,1268.0,1277.800048828125,1255.0,1262.4000244140625,1258.800048828125,124259,1342.355503471496,780.2004397621,1261.6900024414062,1258.3550109863281,1263.0380053710937,1109.9691625976564
AKUMS,471.0,471.0,462.5,466.8999938964844,467.0,73437,705.7000122070312,405.0,464.1949981689454,456.9049987792969,463.3240002441407,516.1540013122559
PETRONET,276.62826515631525,276.62826515631525,273.75229419941303,275.0196838378906,276.6282653808594,1883960,337.3309430259406,259.4212626731403,272.56780395507815,273.1161865234375,270.5731567382812,286.5432145690918
HEROMOTOCO,5570.5,5587.5,5493.0,5515.0,5551.5,402078,5717.0,3294.189009109812,5591.1,5564.15,5393.066005859375,4364.657601318359
PGEL,573.2000122070312,579.8499755859375,571.5,573.7999877929688,574.5999755859375,575389,1053.7354579475011,464.7951314723957,576.1649963378907,560.1500015258789,555.9275921630859,741.9111329650879
FINPIPE,191.8000030517578,191.9499969482422,189.0,189.88999938964844,191.00999450683597,307503,273.9511510698855,151.37878141907683,190.50500030517577,193.0009994506836,203.58054168701173,195.7281079864502
KARURVYSYA,250.47000122070312,250.47000122070312,244.2899932861328,245.0,248.6699981689453,750158,251.9499969482422,153.08937313269632,242.16499938964844,231.05199966430663,219.48983367919922,198.34347274780274
HDFCAMC,5401.5,5419.0,5341.0,5364.5,5398.0,744281,5934.5,3497.4158867437145,5606.6,5596.575,5667.23,4772.931081542969
TRIVENI,357.75,360.20001220703125,356.20001220703125,357.04998779296875,358.45001220703125,98006,532.1921103038593,310.87565771301007,355.7850006103516,353.207502746582,350.6612164306641,376.17448928833005
