Symbol,Open,High,Low,Close,Volume,High_52W,Low_52W,SMA_10,SMA_20,SMA_50,SMA_200
DCMSHRIRAM,1211.5859856031946,1228.338828169125,1209.0930103241756,1221.956787109375,33166,1494.37993821498,897.8413886131767,1231.9286743164062,1238.5599792480468,1320.1735180664064,1135.4443432617188
FIVESTAR,541.5,547.9000244140625,539.1500244140625,544.4500122070312,386188,847.0641819873257,522.0,534.5900024414062,550.0675018310546,621.5533508300781,690.3412567138672
CREDITACC,1329.9000244140625,1342.0,1317.5,1323.5999755859375,253191,1425.0,750.2000122070312,1325.4299926757812,1352.4400024414062,1310.76,1098.425250854492
INDUSINDBK,740.7000122070312,748.9500122070312,734.5999755859375,742.25,2892657,1086.550048828125,606.0,749.9399963378906,755.4024963378906,797.2549987792969,859.7272509765625
TBOTEK,1597.300048828125,1602.800048828125,1569.800048828125,1595.0999755859375,102452,1845.550048828125,996.0,1578.3799926757813,1490.5449951171875,1431.6219995117187,1407.4902514648438
RAMCOCEM,1049.9000244140625,1056.5,1035.300048828125,1040.0,244104,1206.917514912965,786.842302621666,1054.3400268554688,1062.825018310547,1106.2771997070313,987.366081237793
CESC,161.5541590977423,163.5762579996794,160.0254977387767,162.64744567871094,1809431,191.41943633872768,115.13322854629617,154.0521270751953,154.65294876098633,162.10468231201173,155.57583568572997
MEDANTA,1335.300048828125,1377.0,1335.300048828125,1360.300048828125,402483,1455.975933269256,996.0914527560648,1375.95,1382.0155029296875,1347.244228515625,1206.1203900146484
ESCORTS,3665.60009765625,3698.0,3622.300048828125,3671.10009765625,85451,4180.0,2761.5532979782647,3691.9900146484374,3637.3500122070313,3490.23400390625,3323.039140625
SAMMAANCAP,136.05999755859375,137.0,135.39999389648438,136.13999938964844,7055729,170.25,97.61000061035156,136.91100006103517,130.25450057983397,127.66679992675782,131.25734966278077
NUVOCO,434.0,443.8999938964844,434.0,442.7999877929688,156580,477.5,287.5,448.0300018310547,453.7625,426.2440008544922,361.7525
BASF,4630.0,4699.5,4620.5,4672.0,15448,6200.358594389983,4048.958797001571,4632.17998046875,4607.654956054687,4776.455673828125,4831.590126953125
NH,1772.800048828125,1798.9000244140625,1771.199951171875,1785.5,208138,2364.630916434966,1235.190883261907,1780.5700073242188,1791.7900024414062,1862.659462890625,1645.4877087402344
COHANCE,980.0,994.5,980.0,990.7000122070312,76938,1123.4000244140625,856.2999877929688,970.2700073242188,932.0375030517578,972.4610034179688,999.3103246274202
GODREJAGRO,739.9000244140625,739.9000244140625,730.5499877929688,731.5,768703,867.1500244140625,646.4108728187389,736.55,742.0649932861328,774.9276806640624,748.3457687377929
PAGEIND,44348.33134236793,45320.22666848186,44223.729377481526,45190.640625,23029,50257.30043281629,38431.54282002408,44394.183984375,44794.4052734375,45798.68875,44981.28587890625
CAMPUS,271.04998779296875,278.20001220703125,268.6000061035156,274.8999938964844,445783,336.3491857489296,209.76863076432875,271.2005157470703,268.02669830322264,272.00591674804684,271.2150754547119
LEMONTREE,177.0,177.7899932861328,175.1999969482422,176.19000244140625,1962886,180.67999267578125,117.51000213623048,174.61699829101562,169.44349975585936,157.67559936523438,143.39274990081788
SUNDARMFIN,4431.0,4609.7998046875,4431.0,4574.10009765625,83511,5397.012172994826,3897.398034972494,4509.139990234375,4668.039965820312,4783.00873046875,4719.51125
PTCIL,14639.0,14725.0,14463.0,14611.0,10253,17995.0,9756.2998046875,13962.8,13881.75,14295.8,13872.945004882813
GMRAIRPORT,89.48999786376953,93.41000366210938,89.26000213623047,92.83999633789062,32438451,97.0,67.75,87.7489990234375,88.07799949645997,89.90779968261718,82.53289985656738
BALKRISIND,2405.781754977898,2475.2629167984533,2403.9850258791084,2461.985595703125,276970,2910.071188737346,2142.0028633111506,2364.422705078125,2362.196569824219,2504.04267578125,2590.257916259766
BIOCON,359.45001220703125,361.9500122070313,358.3500061035156,360.20001220703125,968345,406.0,290.61144213644866,362.26500244140624,359.58500213623046,370.89400146484377,353.7642674255371
MAHSEAMLES,638.0,642.75,628.25,629.3499755859375,232862,802.4149835129148,571.7318074099492,638.4349914550781,650.4649963378906,672.3959143066406,670.7344387817383
SBICARD,897.0999755859375,905.0499877929688,890.9500122070312,896.5499877929688,834035,1027.25,661.0748318097311,836.4049987792969,824.8774963378906,842.422998046875,838.437126159668
