Symbol,Open,High,Low,Close,Prev_Close,Volume,High_52W,Low_52W,SMA_10,SMA_20,SMA_50,SMA_200
DCMSHRIRAM,1201.0,1201.0,1166.0,1177.9000244140625,1190.5999755859375,36669,1494.37993821498,897.8413886131767,1224.2199951171874,1247.5603515625,1224.5457690429687,1163.391908569336
FIVESTAR,627.5,628.9000244140625,605.5499877929688,609.7000122070312,623.9500122070312,753644,847.0641819873257,501.0,629.6549987792969,614.7549987792969,564.2419995117187,661.3777154541016
CREDITACC,1321.0,1327.199951171875,1308.0999755859375,1321.199951171875,1328.5,84063,1490.0999755859375,750.2000122070312,1355.7400024414062,1386.3699951171875,1368.8699951171875,1199.8340008544922
INDUSINDBK,850.0,850.2999877929688,836.2999877929688,839.5999755859375,847.9500122070312,2317710,1086.550048828125,606.0,832.6599975585938,809.5774993896484,770.2650024414063,816.5317514038086
TBOTEK,1612.0,1630.5999755859375,1586.699951171875,1610.199951171875,1621.4000244140625,84529,1845.550048828125,996.0,1597.6199951171875,1577.8299987792968,1571.64798828125,1388.0164978027344
RAMCOCEM,989.2000122070312,995.5,979.0,991.4000244140624,984.0,135654,1206.917514912965,786.842302621666,1004.2099975585937,1025.0950012207031,1024.487003173828,999.9418447875977
CESC,174.0,174.50999450683594,170.91000366210938,171.3800048828125,174.88999938964844,1281846,191.41943633872768,115.13322854629617,173.44300079345703,176.64065475463866,167.7489828491211,156.84364124298096
MEDANTA,1196.0,1204.0,1187.0999755859375,1199.0,1189.699951171875,103699,1455.975933269256,996.0914527560648,1203.060009765625,1270.5400085449219,1318.442001953125,1254.731185913086
ESCORTS,3671.10009765625,3679.89990234375,3570.0,3584.39990234375,3618.800048828125,105373,4180.0,2761.5532979782647,3603.7599853515626,3673.8349853515624,3656.68599609375,3381.905360107422
SAMMAANCAP,182.92999267578125,182.92999267578125,157.25,159.5500030517578,182.75999450683597,67471907,192.9499969482422,97.61000061035156,178.37200164794922,182.0819999694824,163.82020080566406,133.62860012054443
NUVOCO,366.4500122070313,367.2999877929688,361.7000122070313,364.5499877929688,363.2000122070313,102084,477.5,287.5,372.32999877929694,394.7849975585938,417.30200073242196,374.4082501220703
BASF,4325.10009765625,4434.2998046875,4309.2998046875,4410.2998046875,4319.0,13101,6200.358594389983,4048.958797001571,4438.5,4439.9949951171875,4529.432001953125,4650.742233886719
NH,1950.0,2030.0,1922.699951171875,1991.199951171875,1951.699951171875,2948398,2364.630916434966,1235.190883261907,1844.2299926757812,1813.0050109863282,1781.18201171875,1752.3593072509766
COHANCE,597.5999755859375,597.8499755859375,573.7999877929688,582.25,596.4500122070312,1693413,1123.4000244140625,573.7999877929688,655.2099975585937,736.4000030517578,842.82900390625,941.5
GODREJAGRO,577.0499877929688,579.75,560.0499877929688,568.25,577.0999755859375,378071,867.1500244140625,560.0499877929688,582.7350036621094,621.8225067138671,667.6880017089844,732.1782318115235
PAGEIND,39155.0,39240.0,38755.0,38810.0,39130.0,20119,50257.30043281629,38431.53900330743,39638.27421875,40272.2998046875,41592.5128125,43865.32625
CAMPUS,271.29998779296875,271.29998779296875,260.1499938964844,263.25,271.29998779296875,438119,336.3491857489296,209.76863076432875,273.1449951171875,276.3874969482422,276.42499877929686,268.31232383728025
LEMONTREE,155.88999938964844,155.89999389648438,150.10000610351562,150.97999572753906,155.1199951171875,3035709,180.67999267578125,117.51000213623048,158.7290023803711,162.70650100708008,166.58960021972655,148.125299949646
