Symbol,Open,High,Low,Close,Prev_Close,Volume,High_52W,Low_52W,SMA_10,SMA_20,SMA_50,SMA_200
DCMSHRIRAM,1052.160813417261,1080.8200718482492,1052.160813417261,1073.7296142578125,1078.043212890625,62001,1289.1199386331916,1052.160813417261,1082.4611450195312,1114.9358459472655,1114.9358459472655,1114.9358459472655
FIVESTAR,709.4910210075159,756.328688562266,709.4910210075159,744.868408203125,746.8116455078125,2394920,756.328688562266,624.1866246860128,675.6183898925781,658.243603515625,658.243603515625,658.243603515625
CREDITACC,851.9500122070312,855.4500122070312,830.0,841.2000122070312,859.8499755859375,464585,1015.0,830.0,895.1949951171875,910.1474975585937,910.1474975585937,910.1474975585937
INDUSINDBK,959.0,966.8499755859376,948.0,964.4000244140624,965.2000122070312,3665813,1022.0499877929688,948.0,983.1299987792969,991.0174957275391,991.0174957275391,991.0174957275391
TBOTEK,1690.0,1708.4000244140625,1671.050048828125,1699.800048828125,1721.800048828125,77250,1753.5,1460.0999755859375,1637.8599975585937,1591.054998779297,1591.054998779297,1591.054998779297
RAMCOCEM,1013.451294402336,1035.4633003141157,1007.661297292778,1026.0794677734375,1029.2740478515625,226258,1058.174161875729,914.422181129502,1022.4707458496093,1009.3908142089844,1009.3908142089844,1009.3908142089844
CESC,170.89677087542512,176.86102235292725,170.48349801104015,175.61181640625,173.56423950195312,4474807,191.41943633872768,160.1517429590134,179.52098846435547,173.42242889404298,173.42242889404298,173.42242889404298
MEDANTA,1117.597755225274,1134.5916388020448,1099.6042314381052,1124.9951171875,1133.7918701171875,194055,1192.770614011186,1054.6703845955003,1131.5777221679687,1120.7565979003907,1120.7565979003907,1120.7565979003907
ESCORTS,3321.061324433378,3321.061324433378,3248.097014642127,3255.5322265625,3331.817626953125,138774,3631.5061051323937,3248.097014642127,3408.0632080078126,3456.0947021484376,3456.0947021484376,3456.0947021484376
SAMMAANCAP,150.5,154.88999938964844,150.5,154.14999389648438,154.92999267578125,3665945,170.25,150.5,160.93999786376952,162.5489974975586,162.5489974975586,162.5489974975586
NUVOCO,353.79998779296875,357.8999938964844,352.95001220703125,355.20001220703125,357.04998779296875,84566,385.6499938964844,332.6000061035156,364.0049987792969,358.1374984741211,358.1374984741211,358.1374984741211
BASF,5488.886045923446,5522.352650984594,5391.921309382489,5438.8349609375,5559.00732421875,53258,6200.358594389983,5391.921309382489,5591.363818359375,5661.7515869140625,5661.7515869140625,5661.7515869140625
NH,1259.234232294616,1289.0141928873802,1259.234232294616,1284.67431640625,1277.4913330078125,105076,1343.9847878336143,1235.190883261907,1294.4364013671875,1282.0181396484375,1282.0181396484375,1282.0181396484375
GODREJAGRO,730.296239078532,742.681656491622,713.9632744271797,737.845947265625,735.329345703125,137213,783.8348156008476,702.6633848293793,757.0161743164062,748.5807678222657,748.5807678222657,748.5807678222657
PAGEIND,48301.96910607714,48759.359180877545,48031.92243871599,48472.5546875,48406.41015625,36876,49139.81093343267,43768.534794652194,47216.383203125,45987.8134765625,45987.8134765625,45987.8134765625
CAMPUS,283.2964975990524,287.63038705644124,283.14705942559306,286.5842590332031,289.5233459472656,204640,309.4492725475613,254.3043122695716,295.6156829833984,288.5295349121094,288.5295349121094,288.5295349121094
LEMONTREE,151.0,159.0,149.1999969482422,157.52999877929688,154.7899932861328,11906362,159.0,122.26000213623048,147.06999969482422,138.5109992980957,138.5109992980957,138.5109992980957
SUNDARMFIN,4404.996434083943,4547.684255538714,4328.836594840189,4505.38427734375,4439.35302734375,63186,4547.684255538714,3897.398034972494,4335.564208984375,4213.502709960938,4213.502709960938,4213.502709960938
PTCIL,11600.0,11755.0,11361.0498046875,11706.400390625,11595.7998046875,11109,12398.0,11184.0,11639.55,11764.65751953125,11764.65751953125,11764.65751953125
GMRAIRPORT,80.19999694824219,81.48999786376953,80.19999694824219,80.62999725341797,82.1500015258789,4878495,87.19000244140625,76.8499984741211,83.98999938964843,83.08399963378906,83.08399963378906,83.08399963378906
BALKRISIND,2796.9185015217045,2806.7082857665364,2744.7399657558603,2802.23583984375,2813.814208984375,288316,2883.485168571481,2665.627415660748,2812.22919921875,2791.6758056640624,2791.6758056640624,2791.6758056640624
BIOCON,344.5393396269721,351.0805815653901,342.0426777456173,349.8822021484375,347.5852355957031,1729883,380.9905870070995,322.1692626411334,359.4444091796875,360.1010314941406,360.1010314941406,360.1010314941406
MAHSEAMLES,714.4184081274968,737.9202861854073,711.954896375333,734.5699462890625,720.1337280273438,430485,802.4149835129148,620.8049575400985,754.6967956542969,701.9456268310547,701.9456268310547,701.9456268310547
SBICARD,697.9147913151331,707.2369145435063,694.9237279237826,701.3046875,708.433349609375,719891,740.6870115958232,672.291354376553,718.5730712890625,710.1382781982422,710.1382781982422,710.1382781982422
FSL,360.00714458562163,364.95229767058896,354.66638529042075,361.589599609375,366.3369140625,1718227,387.20548505927184,333.5011291636006,370.3177764892578,364.7495376586914,364.7495376586914,364.7495376586914
CHAMBLFERT,504.230546410216,518.4901154969227,499.8203667040042,516.8240356445312,513.68798828125,1740112,540.0020355923857,446.3101760504029,520.6413391113281,508.0110656738281,508.0110656738281,508.0110656738281
LALPATHLAB,2985.884968007864,3011.718160346877,2969.6712206413767,2997.3388671875,3013.652099609375,64262,3180.3031078050976,2926.4836755589326,3037.77939453125,3016.599719238281,3016.599719238281,3016.599719238281
CANFINHOME,754.3042851504247,766.760218796243,752.4185002064539,764.7752075195312,767.1572265625,435621,860.8688383995516,752.4185002064539,792.7241516113281,806.3334503173828,806.3334503173828,806.3334503173828
